Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
385.95	1.0000	0.063623	15.718	3602.0	5194.6	57.100	10.342	14.467	1493.0	-0.084546	1.0630e-05	0.22751	vapor
386.83	1.0000	0.063479	15.753	3611.1	5207.3	57.133	10.342	14.467	1494.6	-0.084701	1.0647e-05	0.22792	vapor
387.71	1.0000	0.063335	15.789	3620.2	5220.0	57.166	10.343	14.468	1496.3	-0.084855	1.0663e-05	0.22833	vapor
388.59	1.0000	0.063191	15.825	3629.3	5232.8	57.198	10.344	14.469	1498.0	-0.085007	1.0680e-05	0.22874	vapor
389.47	1.0000	0.063048	15.861	3638.4	5245.5	57.231	10.344	14.469	1499.7	-0.085159	1.0696e-05	0.22915	vapor
390.35	1.0000	0.062906	15.897	3647.5	5258.2	57.264	10.345	14.470	1501.4	-0.085310	1.0713e-05	0.22956	vapor
391.23	1.0000	0.062765	15.932	3656.6	5271.0	57.296	10.345	14.470	1503.1	-0.085460	1.0729e-05	0.22997	vapor
392.11	1.0000	0.062624	15.968	3665.7	5283.7	57.329	10.346	14.471	1504.7	-0.085610	1.0745e-05	0.23038	vapor
392.99	1.0000	0.062484	16.004	3674.8	5296.4	57.361	10.346	14.471	1506.4	-0.085758	1.0762e-05	0.23079	vapor
393.87	1.0000	0.062344	16.040	3683.9	5309.2	57.394	10.347	14.472	1508.1	-0.085905	1.0778e-05	0.23120	vapor
394.75	1.0000	0.062206	16.076	3693.0	5321.9	57.426	10.347	14.472	1509.8	-0.086052	1.0794e-05	0.23161	vapor
395.63	1.0000	0.062067	16.112	3702.1	5334.6	57.458	10.348	14.473	1511.4	-0.086197	1.0811e-05	0.23202	vapor
396.51	1.0000	0.061930	16.147	3711.2	5347.4	57.490	10.348	14.473	1513.1	-0.086342	1.0827e-05	0.23243	vapor
397.39	1.0000	0.061792	16.183	3720.3	5360.1	57.522	10.349	14.473	1514.8	-0.086486	1.0843e-05	0.23284	vapor
398.27	1.0000	0.061656	16.219	3729.5	5372.8	57.554	10.349	14.474	1516.4	-0.086629	1.0860e-05	0.23325	vapor
399.15	1.0000	0.061520	16.255	3738.6	5385.6	57.586	10.349	14.474	1518.1	-0.086771	1.0876e-05	0.23366	vapor
